Area,Year,Cost of a healthy diet (PPP dollar per person per day),Coefficient of human inequality,Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,2.a.1 Agriculture share of Government Expenditure,2.a.1 Agriculture value added share of GDP,6.4.1 Water Use Efficiency (Agriculture (ISIC4 A01 A0210 A0322)),6.4.1 Water Use Efficiency (Industries),"Gross domestic product per capita, PPP, (constant 2017 international $)",Per capita food supply variability (kcal/cap/day),Value of food imports in total merchandise exports (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Percentage of the population unable to afford a healthy diet (percent)
Cabo Verde,2020,3.563,27.26998017,0.649,27.3887,45.38292,9.0383205,2.41,4.86,0.07,62.39,5768.5,37.0,350.0,18.5,44.0
Cabo Verde,2021,3.683,27.18866037,0.65,27.3887,45.38292,8.7943611,1.86,4.41,0.07,68.4,6114.1,38.0,389.0,18.1,41.2
Cayman Islands,2017,2.928,,,,,,,,,,,,,,
Cayman Islands,2018,2.866,,,,,,,,,,,,,,
Cayman Islands,2019,2.701,,,,,,,,,,,,,,
Cayman Islands,2020,2.91,,,,,,,,,,,,,,
Cayman Islands,2021,3.05,,,,,,,,,,,,,,
Central African Republic,2017,3.423,45.12706267,0.379,34.5496,62.02571,38.805878,6.27,32.79,0.12,31.16,839.6,65.0,66.0,48.0,94.6
Central African Republic,2018,3.507,45.13982133,0.386,35.19785,62.02571,38.195904,6.66,31.24,0.12,32.08,854.6,44.0,58.0,46.7,94.5
Central African Republic,2019,3.57,44.843474,0.391,35.19785,62.02571,37.306862,8.23,31.98,0.13,33.69,861.8,54.0,58.0,44.5,94.4
Central African Republic,2020,3.615,44.49260333,0.389,35.19785,62.02571,36.25425,5.89,32.0,0.13,33.66,847.8,68.0,61.0,44.8,94.5
Central African Republic,2021,3.784,38.89799667,0.387,35.19785,45.46914,36.027,6.71,31.74,0.13,34.01,837.5,55.0,58.0,45.7,94.6
Sri Lanka,2017,3.702,18.8158826,0.77,11.99693,38.25992,6.1907978,5.34,7.83,0.3,27.1,13584.2,29.0,19.0,8.1,56.6
Sri Lanka,2018,3.705,18.68872873,0.774,11.99693,38.25992,5.8093362,4.51,8.02,0.32,27.36,13753.1,23.0,18.0,7.6,52.0
Sri Lanka,2019,3.667,18.0786571,0.775,11.99693,36.57941,5.6596313,4.56,7.58,0.31,29.04,13639.0,17.0,17.0,7.1,48.5
Sri Lanka,2020,3.923,18.00145,0.777,11.99693,36.57941,5.42801,4.63,8.59,0.33,26.84,13095.8,5.0,17.0,6.4,54.0
Sri Lanka,2021,4.268,17.9250203,0.783,11.99693,36.57941,5.1987209,4.17,9.01,0.36,29.95,13386.7,9.0,18.0,5.7,55.5
Chad,2017,2.831,44.11368933,0.389,42.9501,47.86935,41.521618,3.26,38.43,0.08,34.27,1579.8,62.0,9.0,26.1,82.7
Chad,2018,2.735,43.88953,0.393,42.9501,47.86935,40.84914,4.12,37.37,0.08,39.82,1563.5,44.0,9.0,26.0,80.9
Chad,2019,2.666,40.44493233,0.398,42.9329,38.23162,40.170277,4.06,35.68,0.08,41.46,1562.0,21.0,8.0,26.8,79.3
Chad,2020,2.827,40.14246733,0.396,42.9329,38.23162,39.262882,4.71,38.13,0.08,43.98,1489.2,20.0,7.0,28.1,82.4
Chad,2021,2.941,39.90778967,0.393,42.9329,38.23162,38.558849,4.57,43.9,0.09,29.69,1425.5,14.0,7.0,29.8,83.1
